인증기업목록,,,,,,,,
,,,,,,,,
분류명,업체명,전화번호,기업주소,,,,,
[321] 화장지,(복)무지개공동회엠마우스산업,062-951-6920,광주광역시 광산구 용아로 808 (안청동),,,,,
[265] 발광다이오드 전광판,(복)한국소아마비협회,010-3772-7052,서울특별시 광진구 워커힐로 93 (구의동),,,,,
[766] 종량제 쓰레기 봉투,(사)경기도장애인복지회드림장애인작업장,031-765-2285,경기도 광주시 초월읍 산수로226번길 110-1,,,,,
[321] 화장지,(사)구세군장애인재활작업장,031-258-4580,"경기도 수원시 권선구 새터로37번길 7-9, 1필지 (세류동)",,,,,
[209] 일반조명용 LED 램프,(사)꿈드래장애인협회,063-261-7023,"전라북도 전주시 덕진구 기린대로 451, 1층(덕진동 1가)",,,,,
[210] LED 등기구,(사)꿈드래장애인협회,063-261-7023,"전라북도 전주시 덕진구 기린대로 451, 1층(덕진동 1가)",,,,,
[265] 발광다이오드 전광판,(사)꿈드래장애인협회,063-261-7023,"전라북도 전주시 덕진구 기린대로 451, 1층(덕진동 1가)",,,,,
[210] LED 등기구,(사)누리복지회 다솜누리사업단,032-876-0355,"인천광역시 미추홀구 방축로 312, 7층 723호",,,,,
[210] LED 등기구,(사)늘푸름 늘푸름보호작업장,02-374-6091,서울특별시 구로구 부일로1나길 38 (온수동),,,,,
[321] 화장지,(사)늘푸름 늘푸름보호작업장,02-374-6091,서울특별시 구로구 부일로1나길 38 (온수동),,,,,
[210] LED 등기구,(사)동반성장산업협회 아이에너지사업단,070-4213-1761,"경기도 수원시 권선구 산업로155번길 205, 1층 (고색동)",,,,,
[210] LED 등기구,(사)밀알장애인사회통합공동체,054-435-0837,"경상북도 김천시 평화길 44-1, 1층(평화동)",,,,,
[606] 포장재,(사)샛별공동체(샛별재활원),031-776-0481,"경기도 성남시 중원구 사기막골로 124 (상대원동, SK테크노파크메가동B101호~B102호)",,,,,
[104] 토너카트리지,(사)손과손 핸인핸부평,032-527-0337,"인천광역시 부평구 동수로 87 (부평동, E동)",,,,,
[210] LED 등기구,(사)아름다움나눔협회사업단,070-7765-7571,"경기도 남양주시 오남읍 진건오남로708번길 39-21, 가동, 나동 1층",,,,,
[301] 세탁·주방용 비누,(사)에코언니야,051-581-0906,"부산광역시 금정구 금정로233번길 31, 101호 (구서동, 구서시티타워)",,,,,
[101] 인쇄용지,(사)우리들행복나눔사업단,031-763-5771,경기도 이천시 백사면 원적로970번길 17-22,,,,,
[102] 사무용지,(사)우리들행복나눔사업단,031-763-5771,경기도 이천시 백사면 원적로970번길 17-22,,,,,
[321] 화장지,(사)우리들행복나눔사업단,031-763-5771,경기도 이천시 백사면 원적로970번길 17-22,,,,,
[107] 문서파일류,(사)인천광역시중증장애인복지진흥회사업단 해피로드,032-549-4322,"인천광역시 계양구 장제로 731 (작전동,B01)",,,,,
[321] 화장지,(사)장애인고용진흥회,031-946-4426,"서울특별시 강서구 강서로 385, 8층 807-53호 (마곡동, 우성에스비타워)",,,,,
[210] LED 등기구,(사)장애인녹색일자리사랑회 LED조명사업단,031-511-1612,경기도 남양주시 화도읍 수레로 1027-1,,,,,
[321] 화장지,(사)장애인생산품판매지원협회 아름다운동행 사업단,031-925-1290,경기도 고양시 일산서구 덕산로 153-18 (가좌동),,,,,
[210] LED 등기구,(사)장애인인권센터,02-6123-4400,"서울특별시 영등포구 선유로49길 23, 315호 (양평동, 4가 아이에스비즈타워2차)",,,,,
[265] 발광다이오드 전광판,(사)장애인인권센터,02-6123-4400,"서울특별시 영등포구 선유로49길 23, 315호 (양평동, 4가 아이에스비즈타워2차)",,,,,
[210] LED 등기구,(사)장애인한빛,031-278-5662,"경기도 수원시 권선구 오목천로152번길 40, 210호 (고색동, 고색동첨단벤처밸리)",,,,,
[101] 인쇄용지,(사)한국근로장애인진흥회,032-435-8857,인천광역시 서구 원당대로608번안길 15,,,,,
[102] 사무용지,(사)한국근로장애인진흥회,032-435-8857,인천광역시 서구 원당대로608번안길 15,,,,,
[102] 사무용지,(사)한국나눔복지연합회,02-2279-9240,"서울특별시 중구 창경궁로1길 8, 1,2층(충무로4가)",,,,,
[102] 사무용지,(사)한국시각장애인연합회인쇄사업단,070-7728-7785,경기도 고양시 일산동구 공릉천로 102-1 (사리현동),,,,,
[104] 토너카트리지,(사)한국장애인문인복지후원회,02-2271-2526,"서울특별시 중구 서애로5길 15 (필동3가, 호산나빌딩)",,,,,
